香港,#genre#
翡翠台,https://www.hkdvb.com/?id=jade&type=hktv
翡翠台,https://www.hkdvb.com/?id=jade2&type=hktv
翡翠台,https://www.radartv.in/ompd2/null-1/playlist.m3u8&type=p9p
翡翠台,https://www.insurancegogogo.com/4987/jade_twn/playlist.m3u8&type=p9p
翡翠台,https://www.hkdvb.com/?id=hlt&type=hktv
翡翠台,https://www.hkdvb.com/?id=hlt2&type=hktv
无线新闻台,https://www.hkdvb.com/?id=wxxw&type=hktv
无线新闻台,https://www.hkdvb.com/?id=wxxw2&type=hktv
无线新闻台,https://www.hkdvb.com/?id=wxxw3&type=hktv
无线新闻台,https://www.hkdvb.com/?id=wxxwbm&type=hktv
无线新闻台,https://www.radartv.in/ompd2/null/playlist.m3u8&type=p9p
无线新闻台,https://www.insurancegogogo.com/4987/inews_twn/playlist.m3u8&type=p9p
J2,https://www.insurancegogogo.com/4987/j2_twn/playlist.m3u8&type=p9p
明珠台,https://www.insurancegogogo.com/4987/pearl_twn/playlist.m3u8&type=p9p
HOY财经,https://www.hkdvb.com/?id=hoy76&type=hktv
HOY财经,https://www.hkdvb.com/?id=hoy762&type=hktv
HOY财经,https://www.insurancegogogo.com/4987/hoycaijing_twn/playlist.m3u8&type=p9p
HOY78,https://www.hkdvb.com/?id=hoy78&type=hktv
凤凰香港,https://www.hkdvb.com/?id=fhxgb&type=hktv
凤凰香港,https://www.insurancegogogo.com/4987/hkphoenix_twn/playlist.m3u8&type=p9p
凤凰香港,https://www.hkdvb.com/?id=fhzwb&type=hktv
凤凰中文,https://www.insurancegogogo.com/4987/phoenixtv_hd/playlist.m3u8&type=p9p
凤凰资讯,https://www.hkdvb.com/?id=fhzxb&type=hktv
凤凰资讯,https://www.hkdvb.com/?id=fhzx&type=hktv
凤凰资讯,https://www.insurancegogogo.com/4987/phoenixinfo_hd/playlist.m3u8&type=p9p
RHK 31,https://www.hkdvb.com/?id=rhk31&type=hktv
RHK 31,https://www.hkdvb.com/?id=rhk31b&type=hktv
RHK 31,https://www.insurancegogogo.com/4987/rhk31_twn/playlist.m3u8&type=p9p
RHK 32,https://www.hkdvb.com/?id=rhk32&type=hktv
RHK 32,https://www.insurancegogogo.com/4987/rhk32_twn/playlist.m3u8&type=p9p
viutv,https://www.hkdvb.com/?id=viutv&type=hktv
viutv,https://www.hkdvb.com/?id=viu1b&type=hktv
viutv,https://www.insurancegogogo.com/4987/viu1_twn/playlist.m3u8&type=p9p
viu6,https://www.hkdvb.com/?id=viu6&type=hktv
viu6,https://www.hkdvb.com/?id=viu6b&type=hktv
娱乐新闻台,https://www.hkdvb.com/?id=Tvbentertainment&type=hktv
娱乐新闻台,https://www.hkdvb.com/?id=ylxw&type=hktv
千禧经典,https://www.hkdvb.com/?id=Tvbclassic&type=hktv
now sports plus,https://www.hkdvb.com/?id=now638&type=hktv
now sports plus,https://www.hkdvb.com/?id=nowsportplus&type=hktv
now sports prime,https://www.hkdvb.com/?id=nowsportprime&type=hktv
now新闻,https://www.hkdvb.com/?id=nowxw&type=hktv
now财经,https://www.hkdvb.com/?id=nowcj&type=hktv
now财经,https://www.hkdvb.com/?id=nowcj2&type=hktv
Rock Action,https://www.radartv.in/ompd2/rockaction/playlist.m3u8&type=p9p
MytvSuper 18https://www.hkdvb.com/?id=mytvsuper18&type=hktv
MytvSuper 18,https://www.radartv.in/ompd2/mytvsuper18/playlist.m3u8&type=p9p
Kix,https://www.insurancegogogo.com/ompd2/kix/playlist.m3u8&type=p9p
有线18,https://www.hkdvb.com/?id=yx18&type=hktv
28AI智慧赛马,https://www.hkdvb.com/?id=28aib&type=hktv
28AI智慧赛马,https://www.hkdvb.com/?id=28ai&type=hktv
28AI智慧赛马,https://www.radartv.in/ompd2/superfree/playlist.m3u8&type=p9p
星空电影,https://www.hkdvb.com/?id=xkdy&type=hktv
台湾,#genre#
民视台湾台,https://www.4gtv.tv/?id=4gtv-4gtv001&type=twtv
民视,https://www.4gtv.tv/?id=4gtv-4gtv002&type=twtv
民视第一台,https://www.4gtv.tv/?id=4gtv-4gtv003&type=twtv
民视综艺,https://www.4gtv.tv/?id=4gtv-4gtv004&type=twtv
猪哥亮歌厅秀,https://www.4gtv.tv/?id=4gtv-4gtv006&type=twtv
中天新闻,https://www.4gtv.tv/?id=4gtv-4gtv009&type=twtv
非凡新闻,https://www.4gtv.tv/?id=4gtv-4gtv010&type=twtv
影迷數位電影台,https://www.4gtv.tv/?id=4gtv-4gtv011&type=twtv
視納華仁紀實頻道,https://www.4gtv.tv/?id=4gtv-4gtv013&type=twtv
时尚运动X,https://www.4gtv.tv/?id=4gtv-4gtv014&type=twtv
GLOBETROTTER,https://www.4gtv.tv/?id=4gtv-4gtv016&type=twtv
amc电影台,https://www.4gtv.tv/?id=4gtv-4gtv017&type=twtv
达文西频道,https://www.4gtv.tv/?id=4gtv-4gtv018&type=twtv
八大精彩台,https://www.4gtv.tv/?id=4gtv-4gtv034&type=twtv
八大综艺台,https://www.4gtv.tv/?id=4gtv-4gtv039&type=twtv
中视,https://www.4gtv.tv/?id=4gtv-4gtv040&type=twtv
华视,https://www.4gtv.tv/?id=4gtv-4gtv041&type=twtv
公视戏剧,https://www.4gtv.tv/?id=4gtv-4gtv042&type=twtv
客家电视台,https://www.4gtv.tv/?id=4gtv-4gtv043&type=twtv
靖天卡通台,https://www.4gtv.tv/?id=4gtv-4gtv044&type=twtv
靖洋戏剧台,https://www.4gtv.tv/?id=4gtv-4gtv045&type=twtv
靖天综合台,https://www.4gtv.tv/?id=4gtv-4gtv046&type=twtv
靖天日本台,https://www.4gtv.tv/?id=4gtv-4gtv047&type=twtv
非凡商业,https://www.4gtv.tv/?id=4gtv-4gtv048&type=twtv
采昌影剧,https://www.4gtv.tv/?id=4gtv-4gtv049&type=twtv
台视新闻,https://www.4gtv.tv/?id=4gtv-4gtv051&type=twtv
华视新闻,https://www.4gtv.tv/?id=4gtv-4gtv052&type=twtv
GinxTV,https://www.4gtv.tv/?id=4gtv-4gtv053&type=twtv
靖天欢乐台,https://www.4gtv.tv/?id=4gtv-4gtv054&type=twtv
靖天映画,https://www.4gtv.tv/?id=4gtv-4gtv055&type=twtv
台视财经,https://www.4gtv.tv/?id=4gtv-4gtv056&type=twtv
靖洋卡通台,https://www.4gtv.tv/?id=4gtv-4gtv057&type=twtv
靖天戏剧台,https://www.4gtv.tv/?id=4gtv-4gtv058&type=twtv
古典音乐台,https://www.4gtv.tv/?id=4gtv-4gtv059&type=twtv
靖天电影台,https://www.4gtv.tv/?id=4gtv-4gtv061&type=twtv
靖天育乐台,https://www.4gtv.tv/?id=4gtv-4gtv062&type=twtv
靖天国际台,https://www.4gtv.tv/?id=4gtv-4gtv063&type=twtv
中视菁采,https://www.4gtv.tv/?id=4gtv-4gtv064&type=twtv
靖天资讯台,https://www.4gtv.tv/?id=4gtv-4gtv065&type=twtv
台视,https://www.4gtv.tv/?id=4gtv-4gtv066&type=twtv
tvbs精采台,https://www.4gtv.tv/?id=4gtv-4gtv067&type=twtv
tvbs欢乐台,https://www.4gtv.tv/?id=4gtv-4gtv068&type=twtv
爱尔达娱乐,https://www.4gtv.tv/?id=4gtv-4gtv070&type=twtv
tvbs新闻台,https://www.4gtv.tv/?id=4gtv-4gtv072&type=twtv
tvbs,https://www.4gtv.tv/?id=4gtv-4gtv073&type=twtv
中视新闻,https://www.4gtv.tv/?id=4gtv-4gtv074&type=twtv
镜新闻,https://www.4gtv.tv/?id=4gtv-4gtv075&type=twtv
CATCHPLAY电影台,https://www.4gtv.tv/?id=4gtv-4gtv076&type=twtv
TRACE SPORTS STARS,https://www.4gtv.tv/?id=4gtv-4gtv077&type=twtv
阿里郎,https://www.4gtv.tv/?id=4gtv-4gtv079&type=twtv
中视经典,https://www.4gtv.tv/?id=4gtv-4gtv080&type=twtv
TRACE URBAN,https://www.4gtv.tv/?id=4gtv-4gtv082&type=twtv
MEZZO LIVE,https://www.4gtv.tv/?id=4gtv-4gtv083&type=twtv
国会频道1,https://www.4gtv.tv/?id=4gtv-4gtv084&type=twtv
国会频道2,https://www.4gtv.tv/?id=4gtv-4gtv085&type=twtv
智林体育台,https://www.4gtv.tv/?id=4gtv-4gtv101&type=twtv
国际财经,https://www.4gtv.tv/?id=4gtv-4gtv104&type=twtv
